cash_mode,offset,cost_bps,period,rule,target,exposure_error,dynamic_mean,static_mean
PROXY,0,1,2011,CORE_VOL,0.8944112256649532,1.5687451337953462e-12,0.894246306190594,0.8942463061890252
PROXY,0,1,2015_2016,CORE_VOL,0.9544402846586308,3.588240815588506e-12,0.9545101778090658,0.9545101778054775
PROXY,0,1,2018Q4,CORE_VOL,0.8103118820799864,8.523182160047327e-13,0.8100478768172551,0.8100478768181074
PROXY,0,1,COVID,CORE_VOL,0.7483558676249231,6.0678129187863306e-12,0.7494064861441828,0.7494064861502506
PROXY,0,1,2022,CORE_VOL,0.7839307190515683,7.010947378205401e-12,0.7830114874132353,0.7830114874202463
PROXY,0,1,2023_PLUS,CORE_VOL,0.9166848990062135,3.891442723613636e-12,0.9168895712663538,0.9168895712702453
PROXY,0,1,2024_PLUS,CORE_VOL,0.9150025361086591,5.168754313444879e-12,0.9151528043369995,0.9151528043421683
PROXY,0,1,EX_MAJOR_SHOCKS,CORE_VOL,0.9398374322117888,1.2865264409356314e-12,0.9399308317831355,0.939930831781849
PROXY,0,3,ALL,VOL,0.8316915400137077,6.7309491313949366e-12,0.831821896905649,0.83182189691238
PROXY,0,3,GFC,VOL,0.7071872865271871,2.7331470420222104e-12,0.7069036362497454,0.7069036362524785
PROXY,0,3,2011,VOL,0.788893161508895,4.120925822803656e-12,0.7886104184044044,0.7886104184085253
PROXY,0,3,2015_2016,VOL,0.9088557963332278,4.048872348505483e-12,0.9089897740763173,0.9089897740803662
PROXY,0,3,2018Q4,VOL,0.620371424658515,6.911138328291599e-13,0.619991881543818,0.6199918815431269
PROXY,0,3,COVID,VOL,0.4960855866156635,6.594780277424661e-12,0.49755566163663173,0.4975556616432265
PROXY,0,3,2022,VOL,0.5675905190219055,5.852207607404125e-12,0.5663001945389603,0.5663001945331081
PROXY,0,3,2023_PLUS,VOL,0.8332942638007808,5.365152766501069e-12,0.8336697556018255,0.8336697556071907
PROXY,0,3,2024_PLUS,VOL,0.8299263841836364,4.193201341706754e-12,0.8302026186513219,0.8302026186555151
PROXY,0,3,EX_MAJOR_SHOCKS,VOL,0.8796432859453489,8.748557434046234e-13,0.8798196819343708,0.8798196819334959
PROXY,0,3,ALL,CORE_VOL,0.9158384351394488,6.709077737809821e-13,0.9159080836629635,0.9159080836636344
PROXY,0,3,GFC,CORE_VOL,0.853472038412292,7.063682971875096e-12,0.8532906931937133,0.853290693200777
PROXY,0,3,2011,CORE_VOL,0.8944112256649532,1.5687451337953462e-12,0.894246306190594,0.8942463061890252
PROXY,0,3,2015_2016,CORE_VOL,0.9544402846586308,3.5881297932860434e-12,0.9545101778090658,0.9545101778054776
PROXY,0,3,2018Q4,CORE_VOL,0.8103118820799864,8.524292383071952e-13,0.810047876817255,0.8100478768181074
PROXY,0,3,COVID,CORE_VOL,0.7483558676249231,6.0678129187863306e-12,0.7494064861441828,0.7494064861502506
PROXY,0,3,2022,CORE_VOL,0.7839307190515683,7.0110584005078636e-12,0.7830114874132353,0.7830114874202464
PROXY,0,3,2023_PLUS,CORE_VOL,0.9166848990062135,3.891442723613636e-12,0.9168895712663538,0.9168895712702453
PROXY,0,3,2024_PLUS,CORE_VOL,0.9150025361086591,5.168754313444879e-12,0.9151528043369995,0.9151528043421683
PROXY,0,3,EX_MAJOR_SHOCKS,CORE_VOL,0.9398374322117888,1.2865264409356314e-12,0.9399308317831355,0.939930831781849
PROXY,1,0,ALL,VOL,0.8322772743485984,2.0224932839596477e-12,0.8324052890347655,0.832405289036788
PROXY,1,0,GFC,VOL,0.7097334858044633,2.6261215424483453e-12,0.7098541266473031,0.709854126644677
PROXY,1,0,2011,VOL,0.7932646647750516,7.132294754796931e-12,0.792991636102024,0.7929916360948916
PROXY,1,0,2015_2016,VOL,0.901030478948087,6.5746297295277145e-12,0.9010220589652572,0.9010220589718319
PROXY,1,0,2018Q4,VOL,0.6314395479639643,1.9519941218959502e-12,0.6294512992502646,0.6294512992522165
PROXY,1,0,COVID,VOL,0.5042489877450862,4.894973315572315e-13,0.5043158335099226,0.5043158335094331
